ID,PRODUCT,SLOGAN,DESCRIPTION
391,Kit de amantis senses,4 sensaciones en un solo regalo,"Conquístala con esta cajita elegante y súper coqueta que esconde sensaciones sorprendentes. Ya puedes empezar a imaginarte los momentos que te deparará.., basta con destaparla para dejar salir la magia que contiene ; desearéis probarlo todo, dejaros llevar por las experiencias que posee y disfrutar más y mejor el uno del otro. Asegurado.¿Qué incluye la caja senses de amantis? · Cinta de satén: Para que experimentéis con la privación de los sentidos utilizándolo como antifaz, como cinta de bondage o las dos opciones a la vez ya que sus cm. te darán la posibilidad de cubrir sus ojos y sujetar los brazos también con la cinta sobrante. Tremendamente sexy y excitante. · Plumerito: el encargado de poner su sensibilidad corporal a flor de piel. Pequeño, pomposo, manejable y muy sofisticado. Tiene un palito de sujeción envuelto en cinta de satén con pequeño lazo superior. Puro glamour para hacerla enloquecer. · Pinzas para pezones: la joya de la corona del kit. Con un elegante diseño en plateado y bola púrpura colgante harán sus delicias estimulando sus pezones cuanto quiera a la vez que lucirá exquisita e irresistible hipnotizándote con el movimiento y brillo de sus pechos. · Bala vibradora: la intensidad la aporta este potente vibrador de dimensiones reducidas y enérgica vibración en color dorado con el que recorrer todo su cuerpo para culminar entre sus piernas haciéndole perder los sentidos que previamente habíais potenciado. Todo ello presentado en una exquisita caja negra muy apropiada para una joya como esta.Como si de una caja de bombones se tratara, momentos muy dulces os esperan."
392,SHUP! Succionadores de pezones,,"Máxima adaptabilidad unisex y precisión extrema.¡Pezones arriba! ¡Esto es un gustazo! Realizados en una pieza única de suave y elegante silicona higiénica, ofrecen un diseño perfecto para generar el vacío alrededor de cada pezón con una adaptabilidad, precisión y comodidad pocas veces vistas en éste tipo de accesorios… ¡hasta ahora!Cada unidad ofrece un depósito hueco en forma de esfera con relieves antideslizantes para una manipulación óptima, además de una apertura sin aristas en forma de generosa ventosa que consiguen una adaptación perfecta a cualquier tipo de senos y/o tipos de pezón.Cuanto más apretemos para extraer el aire antes de posar la apertura sobre nuestro pezón, más intenso será el efecto de succión... y más erecto y sensible quedará para la ocasión. Olvídate de perder el tiempo luchando para adaptar la cápsula al pecho sin fugas de aire, o de no poder controlar la fuerza de succión al gusto de cada pezón: su diseño y acabados están tan bien pensados que no tendrás problemas para succionar al gusto sin complicaciones.Esta pareja exclusiva de SHUP! Succionadores de pezones van a levantar tantas pasiones y sensaciones… como pezones -de cualquier tamaño, género y condición- se pongan al alcance de sus succiones.¿Serán los tuyos, o los de la persona que adores?"
393,Cadena para cintura mariposa sexy,¿qué flores resaltarás?,"No hay joya más exultante que tu cuerpo serrano, ni flores más olorosas que los recovecos de tus formas. Pero... si quieres resaltar tus atributos, esta cadena con mariposa de brillantes... ¡seguro te va a ayudar!La cadena, plateada, tiene un largo de 110 cm, y puedes cerrarla allá donde lo prefieras, lo que te permitirá situarla en varias posiciones: como gargantilla, como collar entre los pechos, como cinturón, o volteando las caderas.En la parte central de la cadena, resalta el aplique en forma de mariposa: con su cuerpo central, sus cuatro alas, sus dos antenas y un colgante final que resalta aún más la belleza de esta composición. La mariposa, a diferencia de la cadena, está compuesta de brillantes en blanco, luminosos y radiantes.Será tu complemento perfecto para las grandes ocasiones... Una cadena ideal para llevar vestidx... o desnudx. ¿Te la quedas?"
394,Arnés de cintura doble y cuello en V,,"50 Sombras de Grey popularizó sin duda el BDSM y quizá por ello ahora vemos cómo los arneses inspirados en este tipo de sexualidad están más de moda que nunca. Así que, si te gusta estar a la última, no lo dudes y hazte con este modelazo. Puedes decidir si lucirlo de puertas adentro sin nada debajo o con tu lencería preferida, o bien utilizarlo como complemento a tu outfit preferido. ¡Da rienda suelta a tu imaginación! Este diseño en concreto va con cintura doble –lo que le aporta elegancia y sofisticación- y dos tirantes que lucen en el escote en forma de V... Escote o espalda, porque puedes lucir también dos tirantes por delante y dejar que se unan en tu espalda, ajústalo según tu cuerpo y cómo te guste más llevarlo. Su tacto es suave, flexible y 100% vegano. ¿Te animas a ser la reina de la pasarela fetish?"
395,AVATAR EWOK,dildo compacto de silicona sin circuncidar,"Compacto pero certero, con la energía de un EWOK, travieso pero decidido a llevar hasta el final tu encuentro casual, sea como sea, seas quien seas.Así es EWOK, un nuevo miembro erecto de la Línea de dildos de Fantasía AVATAR de amantis, fabricados en una silicona de la mejor calidad y diseñados con las formas más mágicas que se puedan crear. Hechos para innovar.EWOK es perfecto para disfrutar a solas o en compañía, posee una potente base de adeherencia para hacer Ventosa en cualquier superficie lisa que encuentres por tu casa, en la bañera o en la ducha, en la mesita del salón o en la encimera de la cocina, en el parquet de tu casa o en la silla para hacer abdominales, donde sea, con quien sea.EWOK es perfecto para adaptarlo a un arnés de anillas como el BEAU de amantis y que quien lo porte disfrute de penetrar a su pareja, que ya va siendo hora de cambiar el mundo!EWOK es travieso, pero no te va a hacer ninguna gracieta cuando esté entrando y saliendo de ti, ya verás."
396,CÉSAR KNOCKING,Dildo realista con 7 patrones de percusión,"Si buscas un juguete que sea lo más realista posible, aquí lo tienes. CÉSAR, además de por su diseño, color y textura, es un dildo percutor (es decir, en vez de vibrar, embiste, como lo haría un hombre de carne y hueso).Su ventosa de fijación te permitirá adherirlo a superficies no porosas, para que puedas disfrutar de una experiencia aún más fiel a la realidad. Escoge cuál de sus 7 patrones de percusión te gusta más y deja que CÉSAR te penetre a su ritmo, con intensidad y sin agotarse lo más mínimo. Además, su tacto sedoso te encantará.Tienes ante ti un juguete ergonómico y muy fácil de utilizar que despertará todos tus sentidos. A la que te despistes, te verás saludándolo con un “ave, César”, cada vez que se te ponga delante… ¡o entre las piernas!"
397,YOUMI,el único dildo ¡palpitante! y multi_uso,"¿Aún no conoces YOUMI? Ya puedes preparar tu corazón para este derroche de originalidad juguetera y dejarte llevar por sus singulares palpitaciones sincronizadas que ofrece en su extremo éste juguete tan versátil como súper-original.Recargable con una autonomía de hasta dos horas tras cada carga, sumergible y sorprendentemente ligero para ser un juguete motorizado, YOUMI ofrece sus 13cm. de longitud operativa recubiertos de suave silicona higiénica y su cuerpo firme y derecho de inspiración clásica con la comodidad añadida de poseer un único botón de control con indicador luminoso de actividad… ¿se puede pedir más? Pues claro, mucho más.Disfruta tu YOUMI a mayor o menor profundidad de la afortunada vagina que se deje seducir por sus variados encantos, pero también podrás agarrarlo como un lapicero milagroso repartiendo sus latidos con precisión en cualquiera de sus 9 ritmos combinados donde alcance tu aguante: por los senos, los pezones, el perineo, sobre el clítoris… ¡o incluso por el glande o frenillo (como poco) de cualquier pene deseoso de sucumbir a sus encantos!YUOMI va ensanchando su cuerpo según avanzas hacia su base para ofrecerte penetraciones progresivas al ritmo que ordene tu mano o la de quien tú permitas. Además, olvídate de notar ninguna vibración en la mano que la canse o te despiste, y estará encantada de agarrar este ejemplar único en su especie gracias a su empuñadura anatómica que facilita enormemente su agarre y las angulaciones que precises para ajustar su rectitud deliciosa.¿Ganas de sensaciones tan poderosas como originales y variadas? Pues sólo te falta un buen lubricante a base de agua como Desliz! o Desliz! Eco… Y a dejarte llevar por los latidos cada vez más intensos de YUOMI… ¡y de tu corazón!"
398,ENCANTO,tu dedal vibrador de amantis,"Sabemos que te encanta jugar con tus dedos (y con los suyos) pero claro, tu preciado clítoris empieza a exigir ciertos ritmos y unas velocidades que dejan a vuestros dedos de baja al día siguiente… y, cómo no, ¡en amantis tenemos la solución para que no malgastes energía!He aquí ENCANTO, tu vibrador de dedo de amantis con el que llegarás a tener una estimulación intensa y precisa del clítoris (y de cualquier tipo de estimulación externa en cualquier parte del cuerpo).Este potente dedal vibrador, quedará ajustado a tu dedo favorito para que vibre de manera mágica. Tanto si prefieres sentir tu piel con piel bien ondeante, situando la bala por encima del dedo, como si quieres posicionarlo por debajo y notar la suavísima silicona con la que está diseñado.Pulsa el botón situado en su base, durante 3 segundos de forma continuada para encenderlo y paséate por sus 10 modos de vibración, pulsando el mismo botón de forma rápida.¡Dale a tus dedos un magic touch!"
399,ALVIN,conejo vibrador ¡que eyacula!,"ALVIN parece como todos los demás, pero esconde algo. ALVIN es diferente.Descubre este dildo vibrador de silicona y estimulador de clítoris que eyacula. Sí, tal y como lo lees: este juguetito eyaculará a tu voluntad. Déjate llevar por su diseño semirrealista: tronco y glande combinado con un estimulador de clítoris estilo conejito.Podrás controlar sus 12 patrones de vibración combinadas a través de sus controles de fácil manejo desde los que también podrás apagar o encender tu juguete… y hacerle derretirse por ti.  Desenrosca su mango para acceder al depósito y rellénalo con el líquido que prefieras (por ejemplo CREAMY CUM), y tenlo siempre bien cargado para disfrutar de sus 15 cm insertables y de sus dos motores.Úsalo vaginal o analmente, dejando a su conejito que estimule clítoris o periné mientras sientes su chorro dentro de ti. Juega visualmente simulando sexo oral para que tu amante se excite y pueda apreciar esta función extra del juguete, ¡como una guerra de pistolas de agua!¿Ves? Ya te dijimos que ALVIN era diferente…"
400,TRIPLE MINOU,tu gatito vibrador a distancia de triple acción,"Os presentamos a Triple Minou, el inquieto amigo de Minou, que es igual de mono que éste pero mucho, mucho, mucho más travieso. A Triple Minou no hay rincón de tu anatomía que se le resista y su triple estimulación hará que te conviertas en toda una Cat Lover.Fabricado en silicona de grado médico, Triple Minou es capaz de frotar su graciosa cabecita contra tu clítoris mientras estimula tu vagina y tu perineo para que te sea imposible no caer rendida ante él. Además es muy cómodo y no tendrás que renunciar a que tu nueva mascota te acompañe allá donde quieras, así  que llévalo al cine o al trabajo y dedícate un rato de placer gracias a su discreto mando a distancia y sus nueve potentes modos de vibración, o llévatelo a una cita y vuelve loca a tu pareja entregándole el mando y que sea ella la que dirija tu placer…Introduce la parte más alargada de nuestro adorable minino en tu vagina y siente una oleada de sensaciones en tu Punto-G gracias a las maravillosas estrías de la superficie que van en aumento como también lo hará tu placer, y mientras Triple Minou besa tu clítoris con su simpática carita, ríndete ante el cosquilleo de su colita vibrando sobre tu perineo.Triple Minou será, seguro, uno más de la familia   ."
